nodeId,x,y
232,139.919481,35.632514
233,139.919840,35.632685
234,139.920000,35.632753
235,139.920000,35.632668
236,139.919872,35.632611
237,139.919566,35.632473
238,139.919332,35.632333
239,139.919220,35.632261
240,139.919068,35.632143
241,139.916393,35.629908
242,139.916268,35.629830
243,139.916051,35.629778
244,139.915867,35.629788
245,139.915769,35.629805
246,139.915603,35.629868
247,139.915339,35.630063
248,139.914750,35.630521
249,139.912513,35.632284
250,139.910000,35.634349
251,139.912034,35.632796
252,139.914847,35.637668
253,139.913858,35.638459
254,139.913816,35.638488
255,139.913773,35.638513
256,139.913725,35.638537
257,139.913664,35.638563
258,139.913600,35.638585
259,139.913533,35.638599
260,139.913465,35.638607
261,139.913393,35.638610
262,139.913323,35.638608
263,139.913260,35.638604
264,139.913195,35.638592
265,139.913141,35.638579
266,139.913078,35.638560
267,139.913016,35.638535
268,139.912947,35.638496
269,139.912873,35.638449
270,139.911713,35.637479
271,139.911538,35.637332
272,139.911343,35.637169
273,139.910992,35.636876
274,139.912803,35.635434
275,139.914873,35.637690
276,139.915069,35.637854
277,139.919986,35.637175
278,139.920000,35.637186
279,139.919996,35.637183
280,139.919768,35.637350
281,139.913153,35.635724
282,139.913206,35.636290
283,139.913197,35.635760
284,139.913215,35.635767
285,139.913257,35.635802
286,139.913259,35.635825
287,139.913346,35.635893
288,139.913093,35.636094
289,139.913090,35.636114
290,139.913044,35.636148
291,139.912996,35.636184
292,139.912972,35.636190
293,139.912829,35.636305
294,139.912811,35.636310
295,139.912713,35.636390
296,139.912702,35.636407
297,139.912644,35.636452
298,139.912637,35.636468
299,139.912563,35.636527
300,139.912545,35.636528
301,139.912457,35.636596
302,139.912412,35.636638
303,139.912393,35.636660
304,139.912368,35.636683
305,139.912344,35.636690
306,139.912203,35.636800
307,139.912189,35.636803
308,139.912148,35.636832
309,139.912145,35.636851
310,139.912092,35.636892
311,139.912087,35.636907
312,139.912027,35.636955
313,139.912005,35.636957
314,139.911881,35.637052
315,139.911873,35.637072
316,139.911785,35.637144
317,139.911765,35.637150
318,139.911625,35.637261
319,139.911612,35.637263
320,139.911583,35.637289
321,139.911579,35.637298
322,139.911563,35.637311
323,139.911517,35.637349
324,139.911496,35.637366
325,139.911495,35.637375
326,139.911464,35.637399
327,139.911444,35.637401
