nodeIdOrg,nodeIdDest,distance,highway,oneway,bridge,width
213,214,14.339341,residential,,,
214,215,38.935501,residential,,,
215,216,5.392767,residential,,,
216,217,77.023402,residential,,,
217,171,63.129480,residential,,,
171,218,50.858515,residential,,,
53,219,70.200724,tertiary,,,
219,220,12.752015,tertiary,,,
220,221,65.383435,tertiary,,,
221,222,48.634258,tertiary,,,
222,223,40.230790,tertiary,,,
223,224,25.555204,tertiary,,,
224,225,30.957880,tertiary,,,
225,226,43.633876,tertiary,,,
226,227,38.374037,tertiary,,,
227,228,6.649234,tertiary,,,
228,229,6.092407,tertiary,,,
229,230,2.985218,tertiary,,,
230,231,2.195224,tertiary,,,
231,232,2.438680,tertiary,,,
232,233,2.545061,tertiary,,,
233,234,30.375413,tertiary,,,
234,187,6.191677,tertiary,,,
235,236,38.726988,tertiary,,,
236,237,29.334841,tertiary,,,
237,238,8.755811,tertiary,,,
238,239,8.289005,tertiary,,,
239,240,8.832070,tertiary,,,
240,241,8.884683,tertiary,,,
241,242,40.358029,tertiary,,,
242,243,5.851627,tertiary,,,
243,244,6.704288,tertiary,,,
244,187,75.514925,tertiary,,,
187,245,6.814858,tertiary,,,
245,246,8.498671,tertiary,,,
246,247,9.640322,tertiary,,,
247,248,10.441091,tertiary,,,
248,249,9.943123,tertiary,,,
249,250,10.096189,tertiary,,,
250,251,19.609022,tertiary,,,
251,252,62.190495,tertiary,,,
252,253,30.975306,tertiary,,,
253,254,13.711628,tertiary,,,
254,255,13.551844,tertiary,,,
255,256,14.083996,tertiary,,,
256,257,13.931880,tertiary,,,
257,258,20.751018,tertiary,,,
258,74,138.988955,tertiary,,,
259,260,12.589239,tertiary,,,
260,261,13.081564,tertiary,,,
261,215,29.415100,tertiary,,,
215,262,25.818622,tertiary,,,
262,263,9.364446,tertiary,,,
263,264,6.563906,tertiary,,,
264,265,6.145968,tertiary,,,
265,266,6.286998,tertiary,,,
266,267,6.337821,tertiary,,,
267,268,13.240957,tertiary,,,
268,269,9.935116,tertiary,,,
269,270,28.185565,tertiary,,,
270,271,23.508270,tertiary,,,
271,272,52.704545,tertiary,,,
272,273,52.227241,tertiary,,,
273,274,46.740016,tertiary,,,
274,275,13.691108,tertiary,,,
276,277,8.735352,tertiary,yes,,
278,279,34.974633,unclassified,,,
279,280,28.520199,unclassified,,,
280,281,11.557816,unclassified,,,
281,282,14.169238,unclassified,,,
283,284,19.090776,unclassified,,,
285,286,21.583956,residential,,,
287,288,7.754318,unclassified,,,
288,289,27.824204,unclassified,,,
290,286,37.691749,residential,,,
286,291,5.231851,residential,,,
291,292,62.218778,residential,,,
292,293,36.776616,residential,,,
291,294,60.051926,residential,,,
295,164,43.318828,unclassified,yes,,
164,296,4.287588,unclassified,yes,,
296,293,55.247102,unclassified,yes,,
293,297,29.714776,unclassified,yes,,
297,298,22.304409,unclassified,yes,,
298,299,9.132097,unclassified,yes,,
299,300,39.288986,unclassified,yes,,
300,301,22.689103,unclassified,yes,,
301,278,18.794721,unclassified,yes,,
302,303,49.785069,unclassified,,,
304,305,19.584616,unclassified,,,
305,306,17.936824,unclassified,,,
306,307,9.051530,unclassified,,,
307,308,21.905247,unclassified,,,
308,309,21.848462,unclassified,,,
309,310,28.502892,unclassified,,,
310,311,29.511791,unclassified,,,
311,290,32.959043,unclassified,,,
290,312,39.929741,unclassified,,,
312,313,1.130383,unclassified,,,
314,315,47.333701,residential,,,
316,317,42.213866,residential,,,
