nodeId,x,y
0,139.711019,35.701164
1,139.711395,35.701267
2,139.711674,35.701314
3,139.712029,35.701347
4,139.712309,35.701357
5,139.712559,35.701351
6,139.712925,35.701362
7,139.713939,35.701404
8,139.714034,35.701408
9,139.710534,35.701030
10,139.723470,35.709093
11,139.723483,35.709119
12,139.723560,35.709274
13,139.723642,35.709440
14,139.723680,35.709517
15,139.723815,35.709789
16,139.723885,35.709930
17,139.723956,35.710000
18,139.716660,35.709794
19,139.716744,35.709779
20,139.716771,35.709778
21,139.716798,35.709782
22,139.716819,35.709791
23,139.716834,35.709805
24,139.716916,35.709907
25,139.716964,35.709965
26,139.716990,35.709992
27,139.716999,35.710000
28,139.711528,35.700000
29,139.711538,35.700149
30,139.711601,35.700483
31,139.711635,35.700681
32,139.711620,35.700750
33,139.711599,35.700779
34,139.711573,35.700825
35,139.711449,35.700956
36,139.711592,35.701135
37,139.711721,35.701189
38,139.712180,35.701231
39,139.712436,35.701230
40,139.712738,35.701242
41,139.712872,35.701311
42,139.712257,35.701708
43,139.712672,35.701752
44,139.712669,35.701964
45,139.712626,35.702218
46,139.713783,35.702312
47,139.713839,35.702298
48,139.713879,35.702257
49,139.713945,35.701806
50,139.714019,35.701477
51,139.713199,35.701725
52,139.713062,35.701985
53,139.717406,35.701258
54,139.717426,35.701034
55,139.717405,35.700995
56,139.717359,35.700965
57,139.717218,35.700950
58,139.717240,35.700460
59,139.716609,35.700420
60,139.716575,35.700778
61,139.716702,35.701156
62,139.715653,35.700000
63,139.715594,35.700462
64,139.715552,35.700806
65,139.715953,35.700743
66,139.718757,35.700186
67,139.718887,35.700198
68,139.719239,35.700223
69,139.719572,35.700232
70,139.714088,35.701409
71,139.714293,35.701411
72,139.714499,35.701393
73,139.714558,35.701388
74,139.714991,35.701354
75,139.715136,35.701338
76,139.715664,35.701292
77,139.716046,35.701242
78,139.719188,35.700825
79,139.719500,35.700713
80,139.719500,35.700000
81,139.719518,35.700114
82,139.719657,35.700378
83,139.719780,35.700612
84,139.720630,35.700005
85,139.723522,35.700000
86,139.723523,35.700010
87,139.723607,35.700557
88,139.723667,35.700966
89,139.717635,35.700000
90,139.717611,35.700170
91,139.717602,35.700284
92,139.717558,35.700528
93,139.718224,35.700568
94,139.718258,35.700341
95,139.718303,35.700074
96,139.718318,35.700000
97,139.717679,35.700000
98,139.716375,35.700236
99,139.716335,35.700773
100,139.716470,35.701196
101,139.715916,35.700000
102,139.715881,35.700307
103,139.715903,35.700481
104,139.710852,35.700000
105,139.710854,35.700076
106,139.710863,35.700195
107,139.710920,35.700590
108,139.710949,35.700856
109,139.710732,35.700201
110,139.710591,35.700208
111,139.710218,35.700205
112,139.710183,35.700209
113,139.710000,35.700205
114,139.710203,35.700712
115,139.710656,35.700714
116,139.710772,35.700714
117,139.710583,35.700372
118,139.710560,35.700438
119,139.710568,35.700588
120,139.712163,35.701164
121,139.712683,35.700000
122,139.712667,35.700063
123,139.712546,35.700234
124,139.712392,35.700338
125,139.712170,35.700468
126,139.712136,35.700477
127,139.712133,35.700784
128,139.712117,35.700477
129,139.713246,35.700347
130,139.713244,35.700271
131,139.713260,35.700168
132,139.713266,35.700010
133,139.713412,35.700178
134,139.713913,35.700150
135,139.713525,35.700530
136,139.713954,35.700514
137,139.712958,35.700142
138,139.721659,35.703488
139,139.721550,35.702765
140,139.721438,35.702013
141,139.721434,35.701994
142,139.721390,35.701867
143,139.721318,35.701663
144,139.721202,35.701388
145,139.721185,35.701348
146,139.721096,35.701106
147,139.721074,35.701039
148,139.720988,35.700772
149,139.720807,35.700207
150,139.729465,35.701342
151,139.729423,35.701128
152,139.729410,35.700459
153,139.729369,35.700000
154,139.710434,35.700970
155,139.710068,35.700866
156,139.710000,35.700854
157,139.725688,35.705125
158,139.725629,35.704585
159,139.726394,35.704508
160,139.726878,35.704449
161,139.713620,35.707780
162,139.713058,35.708609
163,139.712775,35.709657
164,139.712733,35.709744
165,139.722611,35.706064
166,139.722811,35.706432
167,139.722959,35.706694
168,139.723122,35.706976
169,139.723245,35.707180
170,139.723377,35.707398
171,139.723503,35.707625
172,139.725160,35.707618
173,139.725209,35.707702
174,139.725402,35.708044
175,139.725552,35.708315
176,139.725693,35.708559
177,139.725988,35.709071
178,139.721883,35.705699
179,139.721893,35.705762
180,139.721943,35.706131
181,139.721969,35.706240
182,139.722026,35.706309
183,139.723140,35.705561
184,139.723159,35.705627
185,139.723222,35.706005
186,139.724530,35.705874
187,139.716094,35.704665
188,139.716028,35.704659
189,139.715313,35.704701
190,139.714862,35.704682
191,139.710000,35.704732
192,139.710531,35.704713
193,139.710633,35.704708
194,139.711148,35.704683
195,139.711339,35.704667
196,139.711521,35.704643
197,139.712104,35.704450
198,139.712460,35.704377
199,139.712754,35.704524
200,139.713186,35.704750
201,139.713211,35.704749
202,139.713688,35.704730
203,139.713766,35.704700
204,139.713888,35.704513
205,139.714139,35.704409
206,139.714220,35.704417
207,139.714313,35.704443
208,139.714533,35.704520
209,139.710400,35.704177
210,139.710481,35.704309
211,139.720769,35.708562
212,139.721239,35.708259
213,139.721526,35.708139
214,139.721613,35.708247
215,139.722007,35.708106
216,139.722062,35.708088
217,139.722855,35.707835
218,139.724026,35.707456
219,139.717557,35.701878
220,139.717539,35.701993
221,139.717320,35.702554
222,139.717296,35.702992
223,139.717247,35.703352
224,139.717098,35.703548
225,139.716993,35.703813
226,139.716840,35.704186
227,139.716671,35.704503
228,139.716628,35.704552
229,139.716588,35.704596
230,139.716566,35.704616
231,139.716547,35.704629
232,139.716523,35.704638
233,139.716495,35.704643
234,139.716162,35.704674
235,139.716265,35.706734
236,139.716201,35.706389
237,139.716152,35.706127
238,139.716142,35.706049
239,139.716137,35.705974
240,139.716137,35.705894
241,139.716143,35.705815
242,139.716199,35.705454
243,139.716201,35.705401
244,139.716199,35.705341
245,139.716085,35.704604
246,139.716070,35.704529
247,139.716045,35.704444
248,139.716015,35.704354
249,139.715981,35.704268
250,139.715944,35.704183
251,139.715859,35.704020
252,139.715584,35.703506
253,139.715448,35.703250
254,139.715390,35.703136
255,139.715342,35.703020
256,139.715298,35.702898
257,139.715263,35.702776
258,139.715226,35.702591
259,139.722503,35.708393
260,139.722394,35.708323
261,139.722275,35.708256
262,139.721764,35.707984
263,139.721677,35.707938
264,139.721617,35.707905
265,139.721563,35.707871
266,139.721512,35.707833
267,139.721465,35.707791
268,139.721374,35.707697
269,139.721309,35.707625
270,139.721123,35.707421
271,139.720977,35.707246
272,139.720645,35.706856
273,139.720319,35.706467
274,139.720034,35.706116
275,139.719958,35.706010
276,139.716401,35.709353
277,139.716441,35.709425
278,139.711193,35.708440
279,139.711571,35.708375
280,139.711862,35.708276
281,139.711960,35.708209
282,139.712010,35.708088
283,139.716411,35.710000
284,139.716616,35.709959
285,139.711406,35.710000
286,139.711331,35.709815
287,139.716550,35.709750
288,139.716467,35.709769
289,139.716348,35.710000
290,139.710927,35.709897
291,139.711388,35.709804
292,139.712059,35.709684
293,139.712242,35.709387
294,139.711112,35.709311
295,139.713095,35.710000
296,139.712698,35.709718
297,139.712007,35.709200
298,139.711828,35.709062
299,139.711756,35.709004
300,139.711469,35.708738
301,139.711318,35.708575
302,139.710206,35.710000
303,139.710000,35.709584
304,139.710274,35.708377
305,139.710282,35.708554
306,139.710300,35.708714
307,139.710321,35.708794
308,139.710375,35.708987
309,139.710482,35.709163
310,139.710632,35.709389
311,139.710788,35.709623
312,139.710503,35.709997
313,139.710491,35.710000
